sep=\t
Module Resource Usage Distribution Estimates
Generated at: Aug 25, 2026 22:42:28

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	        FFs	      SRLs	      ADDs	      LUTs	    COMB4s	      RAMs	 DSP/MULTs
pe_10_10_conv_top:pe_10_10_conv_top                      	   1718(2)	     0(0)	    31(0)	   852(2)	     0(0)	     0(0)	   100(0)	
 +generate_resetn_inst:generate_resetn(P_RESET_CYCLE=10) 	    33(33)	     0(0)	   31(31)	   11(11)	     0(0)	     0(0)	     0(0)	
 +feature_map_12_12_inst:feature_map_12_12               	      1(1)	     0(0)	     0(0)	     2(2)	     0(0)	     0(0)	     0(0)	
 +pe_10_10_inst:pe_10_10                                 	   1682(0)	     0(0)	     0(0)	   837(0)	     0(0)	     0(0)	   100(0)	
  +pe_gen[0].pe_inst:pe                                  	      7(7)	     0(0)	     0(0)	     8(8)	     0(0)	     0(0)	     1(1)	
  +pe_gen[1].pe_inst:pe                                  	    13(13)	     0(0)	     0(0)	     8(8)	     0(0)	     0(0)	     1(1)	
  +pe_gen[2].pe_inst:pe                                  	      7(7)	     0(0)	     0(0)	     9(9)	     0(0)	     0(0)	     1(1)	
  +pe_gen[3].pe_inst:pe                                  	      7(7)	     0(0)	     0(0)	     8(8)	     0(0)	     0(0)	     1(1)	
  +pe_gen[4].pe_inst:pe                                  	      7(7)	     0(0)	     0(0)	     9(9)	     0(0)	     0(0)	     1(1)	
  +pe_gen[5].pe_inst:pe                                  	      7(7)	     0(0)	     0(0)	     9(9)	     0(0)	     0(0)	     1(1)	
  +pe_gen[6].pe_inst:pe                                  	      7(7)	     0(0)	     0(0)	   10(10)	     0(0)	     0(0)	     1(1)	
  +pe_gen[7].pe_inst:pe                                  	      7(7)	     0(0)	     0(0)	     8(8)	     0(0)	     0(0)	     1(1)	
  +pe_gen[8].pe_inst:pe                                  	      6(6)	     0(0)	     0(0)	     7(7)	     0(0)	     0(0)	     1(1)	
  +pe_gen[9].pe_inst:pe                                  	      5(5)	     0(0)	     0(0)	     1(1)	     0(0)	     0(0)	     1(1)	
  +pe_gen[10].pe_inst:pe                                 	    22(22)	     0(0)	     0(0)	   10(10)	     0(0)	     0(0)	     1(1)	
  +pe_gen[11].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   10(10)	     0(0)	     0(0)	     1(1)	
  +pe_gen[12].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   11(11)	     0(0)	     0(0)	     1(1)	
  +pe_gen[13].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	     8(8)	     0(0)	     0(0)	     1(1)	
  +pe_gen[14].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	     9(9)	     0(0)	     0(0)	     1(1)	
